Stocks,Date,Party,Category,Transaction Type,Quantity,Value Traded (₹),Holdings change(%),Average Trade Price(₹)
"NCL Research and Financial Services Ltd","2024-07-16","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","buy","12500000","11875000","1.1678662989289263","0.95"
"Money Masters Leasing and Finance Ltd","2024-07-16","NITISH PRAFULCHANDRA MEHTA","Bulk","buy","71424","12498485.76","0.7115199304578527","174.99"
"Money Masters Leasing and Finance Ltd","2024-07-16","YASH BIPINBHAI NATHWANI (HUF)","Bulk","buy","77071","13482030.030000001","0.7677748734363402","174.93"
"G K Consultants Ltd","2024-07-16","AKHILESH KUMAR","Bulk","buy","103845","2116361.1","1.9549870100530893","20.38"
"GEM Enviro Management Ltd","2024-07-16","SOHAM FINCARE INDIA LLP","Bulk","buy","129600","40717728","1.231190150478796","314.18"
"GEM Enviro Management Ltd","2024-07-16","SETU SECURITIES PVT. LTD.","Bulk","buy","160000","49617600","1.5199878400972793","310.11"
"Bridge Securities Ltd","2024-07-16","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","buy","388803","1990671.36","11.567042513313302","5.12"
"Bhatia Communications & Retail (India) Ltd","2024-07-16","ORCHARD ROAD PROPERTIES PVT LT","Bulk","sell","896904","20449411.2","0.7166517514702122","22.8"
"Associated Coaters Ltd","2024-07-16","SHERWOOD SECURITIES PVT LTD","Bulk","buy","7000","1431990","23.333333333333332","204.57"
"Asian Petro Products and Exports Ltd","2024-07-16","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","buy","25000","577750","0.3247807729782397","23.11"
"Asian Petro Products and Exports Ltd","2024-07-16","MANOJ KUMAR KANDA","Bulk","buy","46000","1061220","0.597596622279961","23.07"
"Anuroop Packaging Ltd","2024-07-16","NAYNA DILIP CHHEDA","Bulk","sell","61622","1793816.42","0.5779049048110287","29.11"
"Anuroop Packaging Ltd","2024-07-16","RITESH RAMESHCHAND AGARWAL","Bulk","sell","110000","3312100","1.0316046140860922","30.11"
"Mahindra and Mahindra Ltd","2024-07-16","Mahindra & Mahindra EmployeesÆ Stock Option Trust","Insider - Trust","sell","34656","165465","0.00310878661614831","4.774497922437673"
"Mahindra and Mahindra Ltd","2024-07-16","Surender Kalra","Insider - Designated Person","buy","846","2332211","0.00007588970098284483","2756.7505910165482"
"Mahindra and Mahindra Ltd","2024-07-16","Nasir Kabir","Insider - Designated Person","buy","653","1800158","0.000058576802295269116","2756.750382848392"
"Birla Cable Ltd","2024-07-16","NK SECURITIES RESEARCH PRIVATE LIMITED","Bulk","buy","304340","91685468.39999999","1.0144666666666666","301.26"
"Indiabulls Housing Finance Ltd Partly Paidup","2024-07-16","PLUTUS WEALTH MANAGEMENT LLP","Bulk","buy","6579936","448488437.76",,"68.16"
"Indiabulls Housing Finance Ltd Partly Paidup","2024-07-16","MILLENNIUM STOCK BROKING PVT LTD","Bulk","buy","1967597","131041960.19999999",,"66.6"
"Hilton Metal Forging Ltd","2024-07-16","MUKUL AVANISH VARMA","Bulk","buy","187860","17001330","0.8945714285714286","90.5"
"GTL Infrastructure Ltd","2024-07-16","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","sell","79123353","227084023.11","0.6244393608518215","2.87"
"GTL Infrastructure Ltd","2024-07-16","SAHASTRAA ADVISORS PRIVATE LIMITED","Bulk","buy","67371932","194704883.48000002","0.5316974643052902","2.89"
"Cybertech Systems and Software Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","193199","39451235.8","0.678531666731055","204.2"
"Chennai Petroleum Corporation Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","1296494","1569989409.3","0.8706479154718846","1210.95"
"Camlin Fine Sciences Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","1357413","161735758.95000002","0.8105641908053175","119.15"
"Camlin Fine Sciences Ltd","2024-07-16","QE SECURITIES LLP","Bulk","buy","1041266","124941507.33999999","0.6217804991576549","119.99"
"Trucap Finance Ltd","2024-07-16","IND SWIFT LABORATORIES LIMITED","Bulk","sell","918857","45538552.92","0.7906546017803804","49.56"
"Tamilnadu Petroproducts Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","756044","80208707.96000001","0.8403152314699213","106.09"
"Tamilnadu Petroproducts Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","756044","80246510.16","0.8403152314699213","106.14"
"Sylvan Plyboard (India) Ltd","2024-07-16","MANSI SHARE AND STOCK ADVISORS PVT LTD","Bulk","sell","168000","20946240","1.2047724910854902","124.68"
"Slone Infosystems Ltd","2024-07-16","ROHAN SUDHAKAR JADHAV","Bulk","buy","35200","5596448","1.907333915648158","158.99"
"Sabar Flex India Ltd","2024-07-16","HI GROWTH CORPORATE SERVICES PVT LTD","Bulk","sell","95000","2577350","0.630411418436309","27.13"
"Sabar Flex India Ltd","2024-07-16","VORA FINANCIAL SERVICES PVT LTD","Bulk","buy","100000","2733000","0.663590966775062","27.33"
"Oriental Carbon & Chemicals Ltd","2024-07-16","SETU SECURITIES PVT LTD","Bulk","sell","85967","30905996.169999998","0.8605226057978245","359.51"
"Oriental Carbon & Chemicals Ltd","2024-07-16","SETU SECURITIES PVT LTD","Bulk","buy","83854","30163122.34","0.8393716494302556","359.71"
"Nocil Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","1010866","316421275.32","0.6065958915652822","313.02"
"Mukka Proteins Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","2950216","156243439.36","1.3410072727272728","52.96"
"Mukka Proteins Ltd","2024-07-16","NK SECURITIES RESEARCH PRIVATE LIMITED","Bulk","buy","2407387","129011869.33000001","1.0942668181818183","53.59"
"MOS Utility Ltd","2024-07-16","SMITAL SURESH THAKKAR","Bulk","sell","127200","26584800","0.6638419980892624","209"
"Kellton Tech Solutions Ltd","2024-07-16","AAKRAYA RESEARCH LLP","Bulk","sell","517641","87828148.47","0.5362443959466242","169.67"
"Kamdhenu Ventures Ltd","2024-07-16","MOTISONS SHARES PVT LTD","Bulk","sell","1632886","65086835.96","2.597200617136677","39.86"
"Titan Intech Ltd","2024-07-16","KOTVAK LOGISTICS LLP","Bulk","sell","242746","9651580.959999999","2.9779938636735244","39.76"
"S P Capital Financing Ltd","2024-07-16","MAYURKANT GOVINDJI MULJIBHAI","Bulk","buy","100000","5887000","1.6632846545357773","58.87"
"Shashijit Infraprojects Ltd","2024-07-16","VIKRAMBHAI GOKALBHAI CHAUDHARI","Bulk","buy","261600","1841664","0.5060939985562857","7.04"
"Remedium Lifecare Ltd","2024-07-16","ALOK ASHOK TIWARI","Bulk","sell","606978","9851252.94","6.0216071428571425","16.23"
"Prism Medico and Pharmacy Ltd","2024-07-16","PRAGNESH ROHITKUMAR PANDYA","Bulk","sell","36071","1031630.6000000001","0.5948945052204793","28.6"
"Prism Medico and Pharmacy Ltd","2024-07-16","TEJESH HASMUKH SHAH","Bulk","buy","57000","1709430","0.9400622881973696","29.99"
"Mac Hotels Ltd","2024-07-16","MANISH SATYANARAYAN NUWAL","Bulk","buy","19500","765375","0.65","39.25"
"Mac Hotels Ltd","2024-07-16","SEEMA MANISH NUWAL","Bulk","buy","19500","765375","0.65","39.25"
"Goyal Associates Ltd","2024-07-16","VANDANATIWARI","Bulk","sell","943628","1972182.5199999998","2.0103925432756324","2.09"
"Franklin Industries Ltd","2024-07-16","CAMELLIA TRADEX PRIVATE LIMITED","Bulk","sell","1748891","6523363.43","4.857301960261516","3.73"
"CNI Research Ltd","2024-07-16","NANDKISHOR CHATURVEDI (HUF)","Bulk","sell","1000000","10370000","0.8710459955837968","10.37"
"RR Metalmakers India Ltd","2024-07-16","UMANG MAHENDRA SHAH","Bulk","buy","108279","7429022.1899999995","1.2019215826616216","68.61"
"Mahindra and Mahindra Ltd","2024-07-16","Naveen Chopra","Insider - Designated Person","buy","1536","4234368","0.00013778555639438493","2756.75"
"Mahindra and Mahindra Ltd","2024-07-16","Damodhar Tota","Insider - Designated Person","buy","1207","3327397","0.00010827289490105639","2756.7497928748962"
"Zomato Ltd","2024-07-16","MOTILAL OSWAL MUTUAL FUND","Block","sell","28470148","6458453073.8","0.34039014456868544","226.85"
"Zomato Ltd","2024-07-16","GOLDMAN SACHS INVESTMENTS (MAURITIUS) I LIMITED  SHORT TERM","Block","buy","920000","208702000","0.010999554094456783","226.85"
"Achyut Healthcare Ltd","2024-07-16","ISEM  MEHMET","Bulk","buy","112500","6356250","0.8024933189221226","56.5"
"Vipul Ltd","2024-07-16","SRESTHA FINVEST LIMITED","Bulk","sell","818974","38598244.620000005","0.6825666119484787","47.13"
"Trucap Finance Ltd","2024-07-16","HJS SECURITIES PRIVATE LIMITED","Bulk","buy","1706037","84585314.46","1.4680042758096143","49.58"
"Trucap Finance Ltd","2024-07-16","HRTI PRIVATE LIMITED","Bulk","buy","660812","32578031.599999998","0.5686130145514446","49.3"
"Sylvan Plyboard (India) Ltd","2024-07-16","BLACK FOX FINANCIAL PRIVATE LIMITED","Bulk","sell","114000","14482560","0.8175241903794399","127.04"
"Shreyas Shipping and Logistics Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","168893","69558582.05","0.7691802171036246","411.85"
"Sheetal Cool Products Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","82269","39753203.489999995","0.7835142857142857","483.21"
"SAR Televenture Ltd","2024-07-16","ASTON MULTITRADE PRIVATE LIMITED","Bulk","buy","111500","26632890","17.0786998743988","238.86"
"Parag Milk Foods Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","678811","136386706.12","0.5791911329288151","200.92"
"Oriental Carbon & Chemicals Ltd","2024-07-16","MANSI SHARE AND STOCK ADVISORS PVT LTD","Bulk","sell","55000","19637750","0.5505454804620418","357.05"
"Mukka Proteins Ltd","2024-07-16","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","Bulk","sell","1668985","90008361.05","0.7586295454545454","53.93"
"Mukka Proteins Ltd","2024-07-16","HRTI PRIVATE LIMITED","Bulk","buy","4505648","239430134.72","2.048021818181818","53.14"
"Mukka Proteins Ltd","2024-07-16","YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .","Bulk","buy","1984995","111278819.7","0.9022704545454545","56.06"
"Marvel Decor Ltd","2024-07-16","GINNI FINANCE PVT. LTD.","Bulk","buy","346000","42727540","2.0304997494152044","123.49"
"Mahanagar Telephone Nigam Ltd","2024-07-16","CLT RESEARCH TECH PRIVATE LTD","Bulk","sell","1757227","93941355.42","0.27892492063492064","53.46"
"Mahanagar Telephone Nigam Ltd","2024-07-16","QE SECURITIES LLP","Bulk","sell","3838548","204210753.60000002","0.6092933333333334","53.2"
"Mahanagar Telephone Nigam Ltd","2024-07-16","QE SECURITIES LLP","Bulk","buy","3662454","194586181.02","0.5813419047619047","53.13"
"Kamdhenu Ventures Ltd","2024-07-16","VT CAPITAL MARKET PVT LTD","Bulk","sell","2876582","114430431.96000001","4.575371793036535","39.78"
"Baid Finserv Ltd","2024-07-16","HIRJI PARBAT GADA","Bulk","buy","1150000","22149000","0.9577881922205943","19.26"
"Arvind and Company Shipping Agencies Ltd","2024-07-16","DEEPAK DHANJI PATEL","Bulk","sell","192000","15256319.999999998","2.5565912117177096","79.46"
"Arvind and Company Shipping Agencies Ltd","2024-07-16","SETU SECURITIES PVT LTD","Bulk","buy","114000","9012840","1.51797603195739","79.06"
"Kamdhenu Ventures Ltd","2024-07-16","VT CAPITAL MARKET PVT LTD","Bulk","buy","2876582","114459197.78","4.575371793036535","39.79"
"GTL Infrastructure Ltd","2024-07-16","SETU SECURITIES PVT LTD","Bulk","buy","80343716","231389902.07999998","0.6340704326256278","2.88"
"GTL Infrastructure Ltd","2024-07-16","MANSI SHARE AND STOCK ADVISORS PVT LTD","Bulk","buy","90000155","258300444.85000002","0.7102787879169487","2.87"
"GTL Infrastructure Ltd","2024-07-16","SHARE INDIA SECURITIES LIMITED","Bulk","buy","66227140","194707791.6","0.522662796818584","2.94"
"Birla Cable Ltd","2024-07-16","QE SECURITIES LLP","Bulk","sell","264770","80304741","0.8825666666666667","303.3"
"S P Capital Financing Ltd","2024-07-16","KARAN HEMANT GOGRI","Bulk","sell","30998","1866079.6","0.5155849772130002","60.2"
"Omnipotent Industries Ltd","2024-07-16","VINAY KUMAR TEKRIWAL","Bulk","buy","60000","686400","0.9917355371900827","11.44"
"Healthy Life Agritec Ltd","2024-07-16","VARUN GUPTA","Bulk","sell","130000","5171400","0.5905869525713248","39.78"
"GTL Infrastructure Ltd","2024-07-16","SAHASTRAA ADVISORS PRIVATE LIMITED","Bulk","sell","37000174","108780511.56","0.2920043720084282","2.94"
"Franklin Industries Ltd","2024-07-16","TOPGAIN FINANCE PRIVATE LIMITED","Bulk","buy","100000","360000","0.27773611736017373","3.6"
"Franklin Industries Ltd","2024-07-16","SAHASTRAA ADVISORS PRIVATE LIMITED","Bulk","buy","1500000","5295000","4.1660417604026065","3.53"
"Mahindra and Mahindra Ltd","2024-07-16","Alok Kumar","Insider - Designated Person","buy","1336","3683018","0.00011984472873886606","2756.75"
"Mahindra and Mahindra Ltd","2024-07-16","Ritesh Agrawal","Insider - Designated Person","buy","400","1102700","0.000035881655311037745","2756.75"
"Mahindra and Mahindra Ltd","2024-07-16","Sanjiv Anand","Insider - Designated Person","buy","3464","9549382","0.00031073513499358686","2756.75"
"Vipul Ltd","2024-07-16","SRESTHA FINVEST LIMITED","Bulk","buy","863536","40301225.120000005","0.7197064153630536","46.67"
"Vascon Engineers Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","1666772","131741658.88000001","0.7669768810795576","79.04"
"Trucap Finance Ltd","2024-07-16","HRTI PRIVATE LIMITED","Bulk","sell","791711","38857175.879999995","0.6812484918002983","49.08"
"Sylvan Plyboard (India) Ltd","2024-07-16","MANSI SHARE AND STOCK ADVISORS PVT LTD","Bulk","buy","50000","6772499.999999999","0.3585632413944912","135.45"
"Shreyas Shipping and Logistics Ltd","2024-07-16","HRTI PRIVATE LIMITED","Bulk","sell","113523","46385497.800000004","0.5170116333196448","408.6"
"GTL Infrastructure Ltd","2024-07-16","SHARE INDIA SECURITIES LIMITED","Bulk","sell","41610047","119420834.89","0.3283853649843966","2.87"
"Globe Textiles (India) Ltd","2024-07-16","SUNITA SANTOSH GOENKA","Bulk","sell","1921404","9453307.68","1.0434974993019677","4.92"
"Globe Textiles (India) Ltd","2024-07-16","CITADEL SECURITIES INDIA MARKETS PRIVATE LIMITED","Bulk","buy","2443302","12069911.88","1.326935681948979","4.94"
"Dollex Agrotech Ltd","2024-07-16","ANSARI NAMRA FIRDAUS AAMIR ANJUM","Bulk","sell","136000","5431840","0.5446972124319128","39.94"
"Cybertech Systems and Software Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","193199","39549767.29","0.678531666731055","204.71"
"Chennai Petroleum Corporation Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","1296494","1569457846.76","0.8706479154718846","1210.54"
"Camlin Fine Sciences Ltd","2024-07-16","QE SECURITIES LLP","Bulk","sell","1066316","128064551.6","0.6367388301738403","120.1"
"Birla Cable Ltd","2024-07-16","AAKRAYA RESEARCH LLP","Bulk","sell","163388","49557214.28","0.5446266666666667","303.31"
"Birla Cable Ltd","2024-07-16","NK SECURITIES RESEARCH PRIVATE LIMITED","Bulk","sell","304340","91746336.39999999","1.0144666666666666","301.46"
"Birla Cable Ltd","2024-07-16","QE SECURITIES LLP","Bulk","buy","265187","80608892.39","0.8839566666666666","303.97"
"Ambey Laboratories Ltd","2024-07-16","MANSI SHARE AND STOCK ADVISORS PVT LTD","Bulk","sell","126000","11240460","7.098823510852749","89.21"
"Mukka Proteins Ltd","2024-07-16","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","Bulk","buy","1768489","95922843.36","0.8038586363636364","54.24"
"Marvel Decor Ltd","2024-07-16","HEENABEN MANMOHANBHAI RADHANPURA","Bulk","sell","100000","12500000","0.5868496385593076","125"
"Mahanagar Telephone Nigam Ltd","2024-07-16","HRTI PRIVATE LIMITED","Bulk","sell","5860476","311660113.68","0.9302342857142857","53.18"
"Mahanagar Telephone Nigam Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","7014165","373925136.15000004","1.1133595238095237","53.31"
"Kamdhenu Ventures Ltd","2024-07-16","MOTISONS SHARES PVT LTD","Bulk","buy","1787886","71211499.38","2.8437371761225365","39.83"
"Kamdhenu Ventures Ltd","2024-07-16","JAINAM BROKING LIMITED","Bulk","buy","2500000","99025000","3.97639611267516","39.61"
"Indiabulls Housing Finance Ltd Partly Paidup","2024-07-16","VIBGYOR INVESTORS ## DEVELOPERS PVT LTD","Bulk","sell","2541557","169369358.48",,"66.64"
"Hilton Metal Forging Ltd","2024-07-16","MUKUL AVANISH VARMA","Bulk","sell","12","1088.28","0.00005714285714285714","90.69"
"Zomato Ltd","2024-07-16","POLAR CAPITAL FUNDS PLC-GLOBAL TECHNOLOGY FUND","Block","buy","6350856","1440691683.6","0.07593106969359285","226.85"
"Zomato Ltd","2024-07-16","OPTIMAS GLOBAL ALPHA FUND","Block","buy","735000","166734750","0.008787687238506234","226.85"
"Zomato Ltd","2024-07-16","MATTHEWS ASIA FUNDS PACIFIC TIGER FUND","Block","buy","90413","20510189.05","0.0010809811786327403","226.85"
"Sheetal Cool Products Ltd","2024-07-16","KIFS  ENTERPRISE","Bulk","sell","110000","52800000","1.0476190476190477","480"
"Nandan Denim Ltd","2024-07-16","TRAPAL TRADING PRIVATE LIMITED","Bulk","sell","900000","43479000","0.6243619021360169","48.31"
"Mukka Proteins Ltd","2024-07-16","YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .","Bulk","sell","1984995","107308829.7","0.9022704545454545","54.06"
"VMS Industries Ltd","2024-07-16","RIMPY  MITTAL","Bulk","sell","237185","10343637.85","1.3435237352785043","43.61"
"Veerhealth Care Ltd","2024-07-16","ARYAMAN BHARAT TAPARIA","Bulk","sell","100000","2506000","0.5002882470269546","25.06"
"SG Finserve Ltd","2024-07-16","APL INFRASTRUCTURE PRIVATE LIMITED","Bulk","buy","275000","109947750","0.6662951566399341","399.81"
"Remedium Lifecare Ltd","2024-07-16","NISHCHAYA TRADINGS PRIVATE LIMITED","Bulk","sell","572717","9272288.23","5.68171626984127","16.19"
"Mac Hotels Ltd","2024-07-16","CHIRAG D BHANUSHALI HUF","Bulk","sell","39000","1530750","1.3","39.25"
"IFL Enterprises Ltd","2024-07-16","DHRUV GANJI","Bulk","sell","40000000","52000000","15.994464987486541","1.3"
"GEM Enviro Management Ltd","2024-07-16","SETU SECURITIES PVT. LTD.","Bulk","sell","196800","61828656","1.8695850433196535","314.17"
"Galaxy Agrico Exports Ltd","2024-07-16","VIVEK  KANDA","Bulk","sell","27207","1605757.1400000001","0.6951875756971806","59.02"
"Franklin Industries Ltd","2024-07-16","MANSI SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","sell","1000000","3770000","2.7773611736017374","3.77"
"Eraaya Lifespaces Ltd","2024-07-16","SNEHA GARG","Bulk","sell","122263","97759049.54","8.29937006163621","799.58"
"Asian Petro Products and Exports Ltd","2024-07-16","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","sell","61461","1420363.71","0.7984540435206235","23.11"
"Mahindra and Mahindra Ltd","2024-07-16","R Veera Raghavan","Insider - Designated Person","buy","600","1654050","0.000053822482966556614","2756.75"
"Mahindra and Mahindra Ltd","2024-07-16","Ganesh Adiga","Insider - Designated Person","buy","3029","8350196","0.0002717138348428333","2756.75008253549"
"Vijaya Diagnostic Centre Ltd","2024-07-16","AL MEHWAR COMMERCIAL INVESTMENTS L.L.C.","Bulk","sell","594987","461132774.60999995","0.5829138343905613","775.03"
"Vascon Engineers Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","1666772","131908336.08","0.7669768810795576","79.14"
"Sylvan Plyboard (India) Ltd","2024-07-16","BLACK FOX FINANCIAL PRIVATE LIMITED","Bulk","buy","16000","2003520","0.11474023724623718","125.22"
"Sunteck Realty Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","1005639","648767888.07","0.7158657299250125","645.13"
"GTL Infrastructure Ltd","2024-07-16","MANSI SHARE AND STOCK ADVISORS PVT LTD","Bulk","sell","23983061","69550876.89999999","0.1892736684466626","2.9"
"GTL Infrastructure Ltd","2024-07-16","SAHASTRAA ADVISORS PRIVATE LIMITED","Bulk","sell","67940066","196346790.74","0.5361811624599702","2.89"
"Globe Textiles (India) Ltd","2024-07-16","CITADEL SECURITIES INDIA MARKETS PRIVATE LIMITED","Bulk","sell","566416","2826415.8400000003","0.30761551426177075","4.99"
"Divine Power Energy Ltd","2024-07-16","EVERMORE SHARE BROKING PRIVATE LIMITED","Bulk","sell","108000","13147920","0.6844505509826936","121.74"
"Camlin Fine Sciences Ltd","2024-07-16","POONAM GAJANAND MUNDHRA","Bulk","buy","1946252","237831994.4","1.1621829004755597","122.2"
"Birla Cable Ltd","2024-07-16","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","258227","77171138.95","0.8607566666666666","298.85"
